run,lumi,evtid 
1,631,115698
1,632,115798
1,633,115915
1,633,116049
1,633,116072
1,634,116124
1,634,116180
1,634,116168
1,634,116199
1,643,117753
1,644,117940
1,645,118185
1,645,118253
1,645,118272
1,646,118413
1,646,118481
1,647,118504
1,647,118644
1,647,118653
1,2003,367204
1,619,113412
1,619,113415
1,619,113490
1,620,113591
1,621,113725
1,622,113955
1,622,114002
1,622,114009
1,622,114011
1,623,114267
1,1975,361994
1,1975,362084
1,1976,362124
1,1976,362175
1,1976,362197
1,1976,362233
1,1977,362310
1,1977,362398
1,1978,362600
1,1979,362766
1,1979,362806
1,1980,362933
1,2102,385248
1,2102,385358
1,2103,385421
1,2103,385479
1,2104,385615
1,2104,385645
1,2105,385993
1,2119,388337
1,2120,388543
1,2120,388550
1,2120,388578
1,2120,388678
1,2121,388766
1,2121,388807
1,2122,388909
1,2122,389023
1,2122,389034
1,2122,389077
1,2122,389064
1,2123,389156
1,2124,389335
1,2124,389384
1,2124,389395
1,2234,409489
1,2234,409539
1,2235,409682
1,2236,409983
1,2237,410010
1,2237,410013
1,2237,410090
1,2237,410140
1,2238,410230
1,1729,316825
1,1729,316911
1,1731,317282
1,1732,317433
1,1732,317441
1,1733,317657
1,1734,317802
1,1734,317841
1,1381,253085
1,1381,253111
1,1381,253116
1,1381,253122
1,1381,253146
1,1382,253232
1,1382,253273
1,1382,253276
1,1382,253382
1,1383,253433
1,1384,253669
1,1384,253724
1,1384,253788
1,1384,253782
1,1385,253843
1,1385,253907
1,1386,254097
1,1603,293733
1,1603,293805
1,1603,293842
1,1604,293975
1,1605,294136
1,1605,294245
1,1605,294295
1,1606,294381
1,1606,294394
1,1606,294492
1,1607,294673
1,1615,295915
1,1615,295941
1,1616,296119
1,1616,296111
1,1616,296167
1,1616,296184
1,1616,296214
1,1618,296533
1,1618,296539
1,1619,296721
1,1619,296740
1,1619,296830
1,1619,296836
1,1619,296865
1,1619,296867
1,1619,296892
